"","GeoName","happening","human","consensus","affectweather","worried","harmplants","futuregen","devharm","harmUS","personal","timing","fundrenewables","regulate","CO2limits","reducetax","supportRPS","rebates","drillANWR","drilloffshore","teachGW","corporations","citizens","congress","governor","localofficials","prienv","discuss","mediaweekly"
"28","Montana",64.537,50.121,43.432,56.643,55.034,66.284,64.848,56.057,51.258,32.879,42.083,85.925,74.442,63.677,61.658,58.446,82.775,34.288,50.863,75.561,65.926,61.834,54.194,43.885,47.528,68.76,35.802,22.396
"29","Nebraska",63.772,50.841,42.565,55.444,53.708,65.049,65.49,56.653,51.882,33.896,42.941,84.076,73.74,63.306,60.579,59.731,80.238,37.827,50.894,73.69,64.158,59.547,54.507,49.89,51.526,68.312,32.282,22.6
"30","Nevada",70.247,56.557,49.39,60.62,60.48,69.827,70.003,62.36,58.926,42.207,50.786,83.703,76.563,69.248,64.925,62.465,81.18,35.18,49.623,77.136,67.68,64.431,61.787,54.527,57.098,69.781,38.011,24.008
"31","New Hampshire",67.943,56.488,49.391,61.549,58.339,70.34,71.322,61.128,56.798,37.04,47.388,85.83,77.884,70.239,66.978,65.948,82.462,34.826,51.771,77.69,68.12,63.683,61.12,54.441,54.544,68.52,36.316,24.231
"32","New Jersey",73.822,61.195,54.766,67.325,66.709,75.591,75.243,67.521,62.572,44.048,54.106,86.047,81.823,77.615,73.236,67.678,83.684,29.525,45.419,82.791,72.04,69.146,67.61,60.252,59.416,72.503,36.423,20.216
"33","New Mexico",71.764,57.782,52.347,61.027,61.892,71.203,71.469,65.031,59.771,44.275,50.447,83.758,76.172,68.074,62.377,61.779,81.789,33.823,46.838,74.597,68.869,65.841,62.345,54.062,56.503,71.69,39.394,26.336
"34","New York",76.584,61.293,55.632,70.758,69.74,76.551,75.606,67.992,64.855,45.562,57.173,87.793,82.692,77.689,74.482,67.609,84.999,24.854,46.045,84.567,73.277,69.965,68.176,62.075,61.298,73.84,39.508,20.935
"35","North Carolina",68.755,55.124,47.797,59.28,58.439,68.986,67.637,60.04,56.087,40.204,49.896,84.405,76.788,70.132,67.431,62.315,81.039,35.66,54.377,78.479,66.632,63.532,61.212,56.53,57.484,68.097,33.579,20.18
"36","North Dakota",60.343,45.497,38.684,50.705,48.803,61.893,62.238,50.463,46.475,29.534,36.899,84.444,70.761,54.513,52.635,54.029,80.678,40.248,58.692,67.057,62.498,58.035,48.909,42.543,45.128,68.509,30.725,22.81
"37","Ohio",66.121,54.162,46.586,58.054,54.765,66.437,66.3,57.494,54.371,37.199,46.773,83.809,75.951,64.186,65.741,61.828,81.229,38.341,54.91,76.013,66.98,62.47,59.95,56.5,55.383,65.91,31.92,21.431
"38","Oklahoma",62.254,49.897,38.689,51.129,52.879,62.758,62.295,54.19,51.6,34.613,43.765,80.146,71.321,62.095,61.585,57.833,78.199,39.793,57.917,74.335,61.008,58.886,53.871,50.197,52.474,63.612,31.098,19.37
"39","Oregon",72.203,57.309,53.808,61.98,61.6,73.218,72.043,66.446,59.646,40.673,52.232,83.577,77.499,70.285,66.43,63.889,81.625,30.797,40.598,79.159,68.486,66.116,62.96,53.902,57.776,69.953,41.244,27.696
